JobTitle,company,JobLocation,JobType,DaysPostedAgo,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 Internship: Data Analyst, Covance, , Internship,3.0,88.46,https://www.indeed.com/rc/clk?jk=b8fa08ea0f5b0753&fccid=8c8fa600b6a5fdd5&vjs=3,26.0,"Decision making, Data Analytics, Algorithms, Mac, Planning, R, Processing, Analysis, SAS, C, Python, Computer, Tableau, Decision Making, Tools, Design, Analytics, Data Mining, Science, Forecasting, Development, Data, Healthcare, Organization, Management, Computer Science",23.0,"Decision making, Computer Science, Data Analytics, Algorithms, Mac, R, Processing, Analysis, SAS, C, Python, Computer, Tableau, Decision Making, Tools, Analytics, Data Mining, Science, Forecasting, Development, Data, Management, Design",3.0,"Organization, Planning, Healthcare",85.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Java, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Statistics, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Optimization, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108.0
 Big Data Analyst (Walk-In Interviews), Sollers, ,,1.0,86.67,https://www.indeed.com/company/Sollers/jobs/Big-Data-Analyst-f4556ca64d5b7a99?fccid=de6197ca2737ec77&vjs=3,15.0,"C, Big Data Technologies, Hadoop, Python, HBase, Hive, R, C++, Big Data, Data, Pig, Programming, Developer, Java, Spark",13.0,"C, Hadoop, Python, Hive, R, C++, Big Data, Data, Pig, Programming, Developer, Java, Spark",2.0,"Big Data Technologies, HBase",95.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Science, Matplotlib, Networks, Business Objects",108.0
 GIS Analyst Intern, setld, , Internship,4.0,83.33,https://www.indeed.com/company/setld/jobs/GIS-Analyst-Intern-ebc748f00c9a1e23?fccid=ff640c312a024204&vjs=3,6.0,"C, ETL, Business Intelligence, R, Data, Programming",5.0,"C, ETL, R, Data, Programming",1.0,Business Intelligence,103.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Science, Matplotlib, Hive, Networks, Business Objects",108.0
 GIS Analyst Intern, setld, , Internship,4.0,83.33,https://www.indeed.com/company/setld/jobs/GIS-Analyst-Intern-ebc748f00c9a1e23?fccid=ff640c312a024204&vjs=3,6.0,"C, ETL, Business Intelligence, R, Data, Programming",5.0,"C, ETL, R, Data, Programming",1.0,Business Intelligence,103.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Science, Matplotlib, Hive, Networks, Business Objects",108.0
 Data Scientist Intern, SphereOI Studios, , Internship,14.0,80.0,https://www.indeed.com/company/SphereOI-Studios/jobs/Data-Scientist-Intern-21cec82830aaeac2?fccid=1fb2d72b890363ec&vjs=3,20.0,"Physics, C,  concepts, Math, SQL, Python, Science, Statistics, C#, R, Data Science, Data, Processing, Programming, Database, Analysis, Technical, Algorithms, Java, Analytics",16.0,"C, Science, SQL, Python, Statistics, R, Java, Data Science, Data, Processing, Programming, Analysis, C#, Algorithms, Technical, Analytics",4.0,"Physics,  concepts, Database, Math",92.0,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Data Mining, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, Spark, Matplotlib, Hive, Networks, Business Objects",108.0
 Product Analyst Intern, ReachMobi, , Internship,8.0,78.95,https://www.indeed.com/rc/clk?jk=8f6b1c7c6f13ab56&fccid=35a2502837fb8bef&vjs=3,19.0,"C, Technology, Forecasting, Excel, SQL, Optimization, Science, R, Web, Code, Data Manipulation, Data, Creative, Mobile, Developer, Analysis, Algorithms, Analytics, Design",15.0,"C, Technology, Forecasting, Excel, SQL, Optimization, Science, Algorithms, R, Data, Developer, Analysis, Code, Analytics, Design",4.0,"Web, Mobile, Creative, Data Manipulation",93.0,"Toad, Tensorflow, Certifications, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108.0
 SUMMER INTERNSHIP - Data Scientist, IST Research, ," Temporary, Internship",3.0,73.68,https://www.indeed.com/rc/clk?jk=75b2f2621b2647ec&fccid=c7be54197249c3dc&vjs=3,19.0,"C, Technology, Science, Python, Data Flow, R, Research, image classification, Data Science, Security, Data, Big Data, Software, Assessment, Analysis, Developer, SAS, Mac, Design",14.0,"C, Technology, Science, Python, R, image classification, Data Science, Data, Big Data, Analysis, Developer, SAS, Mac, Design",5.0,"Data Flow, Research, Security, Software, Assessment",94.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Tools, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108.0
 Business Analyst Intern, Krishtul Medical Associates, ," Full-time, Internship",0.67,71.43,https://www.indeed.com/company/Juno-Dermatology/jobs/Business-Analyst-Intern-c2f878b3da5d0bba?fccid=20fb8db34909d2c6&vjs=3,7.0,"C, Data Analysis, R, Research, Data, Medical, Analysis",5.0,"C, Data Analysis, R, Data, Analysis",2.0,"Research, Medical",103.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Science, Matplotlib, Hive, Networks, Business Objects",108.0
 Research Analyst Intern at exciting tech startup (Spring/Summer), GreenChoice™, ," Temporary, Internship",14.0,71.43,https://www.indeed.com/company/GreenChoice/jobs/Research-Analyst-Intern-At-Exciting-Tech-Startup-11d4e72a5f774502?fccid=885cbf56d7bc84f8&vjs=3,14.0,"C, Technology, Science, Statistics, R, Research, Review, Data Science, Applications, Software, Tools, Data, Analysis, Information Technology",10.0,"C, Technology, Science, Statistics, R, Data Science, Tools, Data, Analysis, Information Technology",4.0,"Applications, Software, Research, Review",98.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108.0
 Data Science Intern, Chegg, , Internship,15.0,71.43,https://www.indeed.com/rc/clk?jk=2fc9f73b1e9a13d9&fccid=a5cbd2514edf7804&vjs=3,28.0,"Algorithms, Mac, Quantitative, Statistics, R, Metrics, Writing, Analysis, Legal, C, Data Analysis, Python, Computer, Tableau, Data Science, Reporting, Tools, Engineering, Database, Analytics, Leadership, Science, SQL, Relational Databases, Databases, Data, Organization, Computer Science",20.0,"C, Leadership, Science, Data Analysis, Quantitative, Python, Statistics, Computer, Tableau, R, Analytics, SQL, Data Science, Reporting, Tools, Data, Analysis, Algorithms, Mac, Computer Science",8.0,"Organization, Relational Databases, Metrics, Writing, Databases, Engineering, Database, Legal",88.0,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, image classification, Coding, Java, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, PLSQL, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108.0
