JobTitle,company,JobLocation,JobType,DaysPostedAgo,Applied?,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 University Relations - Data Science Intern," Blue Cross Blue Shield of IL, MT, NM, OK & TX"," Chicago, IL", Internship,9,Y,100,https://www.indeed.com/rc/clk?jk=47cc0acc4b5d09df&fccid=f0982fe98d8ebba0&vjs=3,4,"Analytics, C, R, Reporting",4,"Analytics, C, R, Reporting",0,,104,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Internship: Data Analyst, Covance," Indianapolis, IN", Internship,2,Y,88.46,https://www.indeed.com/rc/clk?jk=b8fa08ea0f5b0753&fccid=8c8fa600b6a5fdd5&vjs=3,26,"SAS, Python, Planning, Healthcare, Tools, C, Computer, Development, Management, Algorithms, Data Analytics, Decision making, Processing, Analysis, Tableau, Mac, Data Mining, Computer Science, Analytics, Forecasting, Decision Making, Design, Organization, Data, Science, R",23,"SAS, Python, Tools, C, Computer, Development, Management, Algorithms, Data Analytics, Decision making, Processing, Analysis, Tableau, Mac, Data Mining, Computer Science, Analytics, Forecasting, Decision Making, Design, Data, Science, R",3,"Healthcare, Organization, Planning",85,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Data Science Research Intern, Adobe," San Jose, CA"," Full-time, Internship",1,Y,84,https://www.indeed.com/rc/clk?jk=620e3d35e63c1aa4&fccid=f89deb5a97c7738a&vjs=3,25,"Communication, Hadoop, C, Big Data Analytics, Computer, Big Data, Statistics, MapReduce, Programming, Applications, Data Analytics, Analysis, Technical, Mac, Data Mining, Computer Science, Analytics, Hadoop ecosystem, Web, Java, Data, Science, Data Sets, R, Research",21,"Hadoop, C, Big Data Analytics, Computer, Big Data, Statistics, MapReduce, Programming, Data Analytics, Analysis, Technical, Mac, Data Mining, Computer Science, Analytics, Hadoop ecosystem, Java, Data, Science, Data Sets, R",4,"Communication, Applications, Web, Research",87,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Data Science Intern, Lazard Ltd.," New York, NY"," Full-time, Internship",5,Y,75,https://www.indeed.com/rc/clk?jk=86e08c21ad96882c&fccid=65e91efcff7188c2&vjs=3,32,"Python, Tools, C, Computer, Management, Responsibility, Algorithms, Statistics, Programming, Data Analytics, Machine Learning Algorithms, SQL, Analyze Data, Data Science, Tableau, Financial, Quantitative, Mac, Programming Languages, Computer Science, Analytics, Database, Matlab, Data Visualization, Java, Data, Languages, Science, Databases, C++, Data Sets, R",24,"Python, Tools, C, Computer, Management, Algorithms, Statistics, Programming, Data Analytics, Machine Learning Algorithms, SQL, Data Science, Tableau, Quantitative, Mac, Computer Science, Analytics, Data Visualization, Java, Data, Science, C++, Data Sets, R",8,"Matlab, Responsibility, Analyze Data, Programming Languages, Financial, Languages, Databases, Database",84,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Machine Learning Software Intern, Cadence Design Systems," Pittsburgh, PA"," Full-time, Internship",9,Y,75,https://www.indeed.com/rc/clk?jk=fc522711d6892ca2&fccid=391006290e845887&vjs=3,24,"Python, Tools, C, Computer, Development, Technology, Algorithms, Software Development, C++, Optimization, EDA, Engineering, Analysis, Data Science, Mac, Computer Science, Tensorflow, Machine Learning Techniques, Design, Data, Science, Software, R, Research",18,"Analysis, Algorithms, Python, Data Science, Design, Mac, Computer Science, Data, Optimization, Tensorflow, Tools, C, Science, C++, Computer, Development, R, Technology",6,"Software Development, Machine Learning Techniques, EDA, Engineering, Software, Research",90,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Machine Learning Software Intern, Cadence Design Systems," Pittsburgh, PA"," Full-time, Internship",9,,75,https://www.indeed.com/rc/clk?jk=fc522711d6892ca2&fccid=391006290e845887&vjs=3,24,"Python, Tools, C, Computer, Development, Technology, Algorithms, Software Development, C++, Optimization, EDA, Engineering, Analysis, Data Science, Mac, Computer Science, Tensorflow, Machine Learning Techniques, Design, Data, Science, Software, R, Research",18,"Analysis, Algorithms, Python, Data Science, Design, Mac, Computer Science, Data, Optimization, Tensorflow, Tools, C, Science, C++, Computer, Development, R, Technology",6,"Software Development, Machine Learning Techniques, EDA, Engineering, Software, Research",90,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 SUMMER INTERNSHIP - Data Scientist, IST Research," Fredericksburg, VA"," $600 a week - Temporary, Internship",1,,73.68,https://www.indeed.com/rc/clk?jk=75b2f2621b2647ec&fccid=c7be54197249c3dc&vjs=3,19,"Analysis, SAS, image classification, Python, Design, Data Science, Big Data, Mac, Data, Developer, Assessment, Security, C, Science, Software, Data Flow, R, Technology, Research",14,"Analysis, SAS, image classification, Python, Design, Data Science, Big Data, Mac, Data, Developer, C, Science, R, Technology",5,"Assessment, Security, Software, Data Flow, Research",94,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Data Science Intern, Square," San Francisco, CA 94103", Internship,0.92,Y,70,https://www.indeed.com/rc/clk?jk=f69899a687b50b42&fccid=09abad886b83c501&vjs=3,40,"Python, Mathematics, Tools, C, Numpy, sklearn, Computer, Ruby, Development, ETL, Pandas, Management, Visualizations, Software Development, Statistics, Programming, Verbal, SQL, Data Analysis, Analysis, Hive, Technical, Tableau, Linux, Mac, Software, Computer Science, Analytics, Database, Design, Java, Relational Databases, Data, Languages, Science, Math, Databases, C++, R, Research",28,"Python, Tools, C, Numpy, sklearn, Computer, ETL, Development, Management, Pandas, Statistics, Programming, SQL, Data Analysis, Analysis, Hive, Technical, Tableau, Linux, Mac, Computer Science, Analytics, Design, Java, Data, Science, C++, R",12,"Visualizations, Software Development, Relational Databases, Languages, Mathematics, Verbal, Math, Databases, Software, Ruby, Research, Database",80,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Data Intern | SaaS, Enervee," Los Angeles, CA"," Temporary, Internship",0.96,Y,70,https://www.indeed.com/rc/clk?jk=8a8b01b0e5414d94&fccid=84d549a6881698f3&vjs=3,20,"Data Visualization, Data Visualizations, Visualizations, Python, Data Science, Analysis, Technical, Statistics, Data, C, Science, SQL, Engineering, Database, Large Data Sets, Data Sets, Data Analysis, R, Research, Reports",14,"Data Visualization, Analysis, Python, Data Science, Technical, Statistics, Data, C, Science, SQL, Data Sets, Data Analysis, R, Reports",6,"Data Visualizations, Visualizations, Engineering, Large Data Sets, Research, Database",94,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
 Analytics Intern, Helix," San Carlos, CA", Internship,7,Y,70,https://www.indeed.com/rc/clk?jk=63121af040984af1&fccid=f4656ea61815b8d4&vjs=3,30,"SAS, Python, Visio, Code, C, Computer, Google Analytics, Development, Vision, Excel, Responsibility, Reporting, Statistics, Applications, SQL, Engineering, Data Analysis, Personal, Analysis, Data Science, Quantitative, Computer Science, Analytics, Metrics, Data Visualization, Design, Logic, Data, Science, R",21,"SAS, Python, Code, C, Computer, Development, Excel, Reporting, Statistics, SQL, Data Analysis, Analysis, Data Science, Quantitative, Computer Science, Analytics, Data Visualization, Design, Data, Science, R",9,"Responsibility, Logic, Metrics, Applications, Visio, Engineering, Google Analytics, Vision, Personal",87,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108
