JobTitle,company,Applied,JobType,DaysPostedAgo,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 University Relations - Data Science Intern," Blue Cross Blue Shield of IL, MT, NM, OK & TX", , Internship,10,100,https://www.indeed.com/rc/clk?jk=47cc0acc4b5d09df&fccid=f0982fe98d8ebba0&vjs=3,4,"C, Reporting, R, Analytics",4,"C, Reporting, R, Analytics",0,,104,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Data, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Enterprise Miner, Operations, C#, Spark, Science, Matplotlib, Hive, Networks, Business Objects",108
 Graduate Intern – R&D (Data Science), Amgen,Y, Internship,16,91.67,https://www.indeed.com/rc/clk?jk=f4702b3f5e769ef5&fccid=ec34037a9c92d805&vjs=3,12,"C, Science, Python, Statistics, Computer, R, Data Science, Networking, Data, Computer Science, Programming, Design",11,"C, Science, Python, Computer, Statistics, R, Data Science, Data, Design, Programming, Computer Science",1,Networking,97,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Internship: Data Analyst, Covance,Y, Internship,3,88.46,https://www.indeed.com/rc/clk?jk=b8fa08ea0f5b0753&fccid=8c8fa600b6a5fdd5&vjs=3,26,"Decision making, Data Analytics, Algorithms, Mac, Planning, R, Processing, Analysis, SAS, C, Python, Computer, Tableau, Decision Making, Tools, Design, Analytics, Data Mining, Science, Forecasting, Development, Data, Healthcare, Organization, Management, Computer Science",23,"Decision making, Computer Science, Data Analytics, Algorithms, Mac, R, Processing, Analysis, SAS, C, Python, Computer, Tableau, Decision Making, Tools, Analytics, Data Mining, Science, Forecasting, Development, Data, Management, Design",3,"Organization, Planning, Healthcare",85,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Java, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Statistics, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Optimization, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Science Research Intern, Adobe,NA," Full-time, Internship",2,84,https://www.indeed.com/rc/clk?jk=620e3d35e63c1aa4&fccid=f89deb5a97c7738a&vjs=3,25,"MapReduce, Data Analytics, Technical, Mac, Hadoop, Statistics, R, Big Data Analytics, Analysis, Web, Data Sets, Communication, C, Computer, Research, Java, Analytics, Data Mining, Science, Applications, Data, Big Data, Programming, Hadoop ecosystem, Computer Science",21,"MapReduce, Data Analytics, Technical, Mac, Hadoop, Statistics, R, Big Data Analytics, Analysis, Data Sets, C, Computer, Java, Analytics, Data Mining, Science, Data, Big Data, Programming, Hadoop ecosystem, Computer Science",4,"Web, Research, Applications, Communication",87,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, SAS, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Analytics Intern, PulsePoint,NA, Internship,13,81.82,https://www.indeed.com/rc/clk?jk=b280d42c032c90d8&fccid=93b6104db54859ec&vjs=3,22,"Excel, Optimization, Software, Reports, Information Technology, Quantitative, Business Analytics, R, Analysis, C,  concepts, Data Analysis, Python, Tableau, Data Science, Tools, Analytics, Technology, Science, SQL, Data, Healthcare",18,"C, Technology, Science, Optimization, Excel, Quantitative, Data Analysis, Python, Tableau, SQL, R, Data Science, Tools, Data, Reports, Analysis, Information Technology, Analytics",4,"Business Analytics, Software,  concepts, Healthcare",90,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, image classification, Coding, Java, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Statistics, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Decision making, sklearn, Convolutional Neural Network, Algorithms, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Intern-Data Engineering, Huawei,Y, Internship,0.67,80,https://www.indeed.com/rc/clk?jk=de6d841541ed95ed&fccid=d8be85d73018fac8&vjs=3,20,"C, Science, Python, Statistics, Computer, R, Electrical, Software, Machine Learning Algorithms, Problem Solving, Big Data, Data, Programming, Engineering, Analysis, Algorithms, Java, Spark, Mac, Computer Science",16,"C, Science, Python, Computer, Statistics, R, Machine Learning Algorithms, Big Data, Data, Programming, Analysis, Algorithms, Java, Spark, Mac, Computer Science",4,"Engineering, Software, Problem Solving, Electrical",92,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Matplotlib, Hive, Networks, Business Objects",108
 Data Scientist Intern, SphereOI Studios,Y, Internship,14,80,https://www.indeed.com/company/SphereOI-Studios/jobs/Data-Scientist-Intern-21cec82830aaeac2?fccid=1fb2d72b890363ec&vjs=3,20,"Physics, C,  concepts, Math, SQL, Python, Science, Statistics, C#, R, Data Science, Data, Processing, Programming, Database, Analysis, Technical, Algorithms, Java, Analytics",16,"C, Science, SQL, Python, Statistics, R, Java, Data Science, Data, Processing, Programming, Analysis, C#, Algorithms, Technical, Analytics",4,"Physics,  concepts, Database, Math",92,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Data Mining, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Science Intern, PulsePoint,NA, Internship,13,78.95,https://www.indeed.com/rc/clk?jk=aa37506dfa0650db&fccid=93b6104db54859ec&vjs=3,19,"C, Technology, Science, Math, Optimization, Quantitative, Python, Computer, R, Data Science, Software, Data, Mathematics, Programming, Healthcare, Analysis, Java, Mac, Computer Science",15,"C, Technology, Science, Optimization, Quantitative, Python, Computer, R, Data Science, Data, Programming, Analysis, Java, Mac, Computer Science",4,"Software, Healthcare, Mathematics, Math",93,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Tools, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
" Intern, IT Data", CRUTCHFIELD CORPORATION, , Internship,12,76,https://www.indeed.com/rc/clk?jk=f60a50aa0f5a9625&fccid=67ea2c8bb0f069b1&vjs=3,25,"Text Analytics, Data Analytics, Algorithms, Analytical, Support, R, Analysis, SAS, C, Python, NoSQL, Computer, Perl, Data Science, Tools, Engineering, SPSS, C#, Spark, Java, Analytics, Science, SQL, Data, Computer Science",19,"C, Science, Text Analytics, Python, SQL, Computer, C#, R, Java, Data Science, Tools, Data, Data Analytics, Analysis, Algorithms, SAS, Spark, Analytics, Computer Science",6,"Support, NoSQL, Perl, Engineering, SPSS, Analytical",89,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, Matplotlib, Hive, Networks, Business Objects",108
" Data Scientist Intern - Spring 2018, Payformance Solutions", Altarum, , Internship,0.71,75.86,https://www.indeed.com/rc/clk?jk=c9ec4d9e19b8ed76&fccid=5bd36620ad472249&vjs=3,29,"Tensorflow, Testing, Keras, Data Analytics, Code, Mac, Support, Statistics, Components, R, Writing, Analysis, Developer, C, Data Analysis, Python, NoSQL, Computer, Research, Data Science, Tools, Operations, Engineering, Analytics, Science, SQL, Networks, Data, Computer Science",22,"Tensorflow, Keras, Data Analytics, Code, Mac, Statistics, R, Analysis, Developer, C, Data Analysis, Python, Computer, Data Science, Tools, Operations, Analytics, Science, SQL, Networks, Data, Computer Science",7,"Support, NoSQL, Components, Testing, Research, Writing, Engineering",86,"Toad, Excel, Certifications, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, image classification, Coding, Java, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, C#, Spark, Matplotlib, Hive, Business Objects",108
