JobTitle,company,JobLocation,JobType,DaysPostedAgo,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 Data Science Intern, Taboola," Los Angeles, CA", Internship,1.75,75.0,https://www.indeed.com/rc/clk?jk=9c58f39516079d39&fccid=c869809b954e0ce1&vjs=3,36.0,"Python,  Maintain, HBase, Hadoop, Spark, Code, C, Computer, Technology, Algorithms, Pig, Big Data, Mobile, Statistics, MapReduce, Applications, Programming, NoSQL, Optimization, SQL, Engineering, Personal, Data Science, Hive, Technical, Mac, Data Mining, Computer Science, Web, Design, Support, Java, Data, Science, Hadoop Streaming, R",27.0,"Python, Hadoop, Spark, Code, C, Computer, Technology, Algorithms, Pig, Big Data, Statistics, MapReduce, Programming, Optimization, SQL, Data Science, Hive, Technical, Mac, Data Mining, Computer Science, Design, Java, Data, Science, Hadoop Streaming, R",9.0,"Mobile,  Maintain, Support, HBase, Applications, NoSQL, Web, Engineering, Personal",81.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Machine Learning Software Intern, Cadence Design Systems," Pittsburgh, PA"," Full-time, Internship",9.0,75.0,https://www.indeed.com/rc/clk?jk=fc522711d6892ca2&fccid=391006290e845887&vjs=3,24.0,"Python, Tools, C, Computer, Development, Technology, Algorithms, Software Development, C++, Optimization, EDA, Engineering, Analysis, Data Science, Mac, Computer Science, Tensorflow, Machine Learning Techniques, Design, Data, Science, Software, R, Research",18.0,"Analysis, Algorithms, Python, Data Science, Design, Mac, Computer Science, Data, Optimization, Tensorflow, Tools, C, Science, C++, Computer, Development, R, Technology",6.0,"Software Development, Machine Learning Techniques, EDA, Engineering, Software, Research",90.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Sourcing Intern, Hertz," Estero, FL 33928", Internship,6.0,72.73,https://www.indeed.com/rc/clk?jk=78fa9fe9f8f47659&fccid=8c10964112cb0cc0&vjs=3,11.0,"Mac, Trends, Support, Project Management, Data, Operations, Data Analytics, Analytics, C, R, Management",8.0,"Mac, Data, Operations, Data Analytics, Analytics, C, R, Management",3.0,"Project Management, Support, Trends",100.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Software Intern for Distributed System Software – Summer 2018, NVIDIA," Santa Clara, CA"," Full-time, Temporary, Internship",7.0,69.57,https://www.indeed.com/rc/clk?jk=3f150a1e1b6cf5e2&fccid=c267f29f0f85e8b8&vjs=3,23.0,"Python, Spark, C, Computer, Development, Excel, Management, Analytical , Programming, Data Analytics, Scheduling, Engineering, Linux, Computer Science, Analytics, Analytical, Debugging, Logic, Java, Data, Science, Software, R",16.0,"Python, Linux, Java, Programming, Computer Science, Data, Spark, Data Analytics, Analytics, C, Science, Computer, Development, R, Excel, Management",7.0,"Analytical , Debugging, Logic, Scheduling, Engineering, Software, Analytical",92.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Computer Science Intern, Gosvea Inc," San Jose, CA"," $50,000 - $60,000 a year - Part-time, Internship",5.0,69.23,https://www.indeed.com/company/Gosvea-Inc/jobs/Computer-Science-Intern-2a2f93d2d1e8c0c0?fccid=cc66ad10f78adcb0&vjs=3,13.0,"Responsibility, Big Data, Training, Financial, Computer Science, Data, C, Science, Web, Computer, R, Excel, Management",9.0,"Big Data, Computer Science, Data, C, Science, Computer, R, Excel, Management",4.0,"Responsibility, Training, Web, Financial",99.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Deep Learning Research Intern, Adobe," San Jose, CA"," Full-time, Internship",1.0,66.67,https://www.indeed.com/rc/clk?jk=2d29196fe67a8ee7&fccid=f89deb5a97c7738a&vjs=3,9.0,"Algorithms, image classification, Networks, Visio, C, Computer, R, Vision, Research",6.0,"Algorithms, image classification, Networks, C, Computer, R",3.0,"Visio, Vision, Research",102.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Data Science Graduation Program and Internships, ZyLAB," McLean, VA",,1.0,66.67,https://www.indeed.com/rc/clk?jk=65a49c7e068f8a10&fccid=cef8d5469db38990&vjs=3,21.0,"Visio, C, Computer, Development, Vision, Technology, Excel, Applications, Programming, C#, Presentation, Data Science, Mac, Data Mining, Computer Science, Organization, Data, Science, Software, R, Research",14.0,"Data Science, Mac, Data Mining, Programming, Computer Science, Data, C, Science, C#, Computer, Development, R, Technology, Excel",7.0,"Presentation, Applications, Visio, Organization, Software, Vision, Research",94.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Big Data Engineer Internship, Gosvea Inc," San Jose, CA"," $20,000 - $80,000 a year - Full-time, Part-time, Internship, Commission",2.0,64.29,"https://www.indeed.com/company/Gosvea,-Inc./jobs/Big-Data-Engineer-Internship-4f003756e7ac523d?fccid=9737616772f773c0&vjs=3",14.0,"Responsibility, Big Data, Training, Financial, Computer Science, Data, C, Science, Web, Software, Computer, R, Excel, Management",9.0,"Big Data, Computer Science, Data, C, Science, Computer, R, Excel, Management",5.0,"Responsibility, Training, Financial, Web, Software",99.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Machine & Deep Learning Data Scientist Internship, Crushh," New York, NY", $12 an hour - Internship,8.0,63.33,https://www.indeed.com/company/Crushh/jobs/Machine-Deep-Learning-Data-Scientist-Internship-6d58990dbb0a8cbe?fccid=e669b2a98ea7cb04&vjs=3,30.0,"Communication, Python, Email, Tools, C, Computer, Algorithms, Mobile, Statistics, Applications, Programming, SQL, Engineering, Processing, Data Analysis, Analysis, Data Science, Mac, Computer Science, Tensorflow, Matlab, Networks, Writing, Data, Science, Math, Software, R, Optimizing, Research",19.0,"Analysis, Algorithms, Python, Data Science, Mac, Networks, Statistics, Programming, Computer Science, Data, Tensorflow, Tools, C, Science, SQL, Processing, Computer, Data Analysis, R",11.0,"Communication, Matlab, Mobile, Email, Writing, Applications, Math, Engineering, Software, Optimizing, Research",89.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
" Intern, Industrial AI"," Hitachi America, Ltd."," Santa Clara, CA 95054"," Full-time, Internship",2.0,63.16,https://www.indeed.com/rc/clk?jk=7222cb1a15110925&fccid=28f79c18789111e8&vjs=3,38.0,"Communication, Python, Data Science Tools, Big Data Solutions, Hadoop, Visio, Mathematics, Spark, Tools, C, Internet, Computer, Development, Technology, Excel, Vision, Algorithms, Big Data, Statistics, HTML, Programming, Verbal, Machine Learning Algorithms, Analysis, Data Science, Problem-solving, Technical, Mac, Data Mining, Computer Science, Messaging, Analytics, Data, Innovation, Science, Math, R, Research",24.0,"Python, Hadoop, Spark, Tools, C, Computer, Development, Technology, Excel, Algorithms, Big Data, Statistics, Programming, Machine Learning Algorithms, Analysis, Data Science, Technical, Mac, Data Mining, Computer Science, Analytics, Data, Science, R",14.0,"Communication, Problem-solving, Data Science Tools, Big Data Solutions, HTML, Visio, Mathematics, Innovation, Verbal, Messaging, Math, Internet, Vision, Research",84.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
