JobTitle,company,JobLocation,JobType,DaysPostedAgo,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 Internship: Data Analyst, Covance," Indianapolis, IN", Internship,2.0,88.46,https://www.indeed.com/rc/clk?jk=b8fa08ea0f5b0753&fccid=8c8fa600b6a5fdd5&vjs=3,26.0,"SAS, Python, Planning, Healthcare, Tools, C, Computer, Development, Management, Algorithms, Data Analytics, Decision making, Processing, Analysis, Tableau, Mac, Data Mining, Computer Science, Analytics, Forecasting, Decision Making, Design, Organization, Data, Science, R",23.0,"SAS, Python, Tools, C, Computer, Development, Management, Algorithms, Data Analytics, Decision making, Processing, Analysis, Tableau, Mac, Data Mining, Computer Science, Analytics, Forecasting, Decision Making, Design, Data, Science, R",3.0,"Healthcare, Organization, Planning",85.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Data Science Research Intern, Adobe," San Jose, CA"," Full-time, Internship",1.0,84.0,https://www.indeed.com/rc/clk?jk=620e3d35e63c1aa4&fccid=f89deb5a97c7738a&vjs=3,25.0,"Communication, Hadoop, C, Big Data Analytics, Computer, Big Data, Statistics, MapReduce, Programming, Applications, Data Analytics, Analysis, Technical, Mac, Data Mining, Computer Science, Analytics, Hadoop ecosystem, Web, Java, Data, Science, Data Sets, R, Research",21.0,"Hadoop, C, Big Data Analytics, Computer, Big Data, Statistics, MapReduce, Programming, Data Analytics, Analysis, Technical, Mac, Data Mining, Computer Science, Analytics, Hadoop ecosystem, Java, Data, Science, Data Sets, R",4.0,"Communication, Applications, Web, Research",87.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Data Science Intern, Lazard Ltd.," New York, NY"," Full-time, Internship",5.0,75.0,https://www.indeed.com/rc/clk?jk=86e08c21ad96882c&fccid=65e91efcff7188c2&vjs=3,32.0,"Python, Tools, C, Computer, Management, Responsibility, Algorithms, Statistics, Programming, Data Analytics, Machine Learning Algorithms, SQL, Analyze Data, Data Science, Tableau, Financial, Quantitative, Mac, Programming Languages, Computer Science, Analytics, Database, Matlab, Data Visualization, Java, Data, Languages, Science, Databases, C++, Data Sets, R",24.0,"Python, Tools, C, Computer, Management, Algorithms, Statistics, Programming, Data Analytics, Machine Learning Algorithms, SQL, Data Science, Tableau, Quantitative, Mac, Computer Science, Analytics, Data Visualization, Java, Data, Science, C++, Data Sets, R",8.0,"Matlab, Responsibility, Analyze Data, Programming Languages, Financial, Languages, Databases, Database",84.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Machine Learning Software Intern, Cadence Design Systems," Pittsburgh, PA"," Full-time, Internship",9.0,75.0,https://www.indeed.com/rc/clk?jk=fc522711d6892ca2&fccid=391006290e845887&vjs=3,24.0,"Python, Tools, C, Computer, Development, Technology, Algorithms, Software Development, C++, Optimization, EDA, Engineering, Analysis, Data Science, Mac, Computer Science, Tensorflow, Machine Learning Techniques, Design, Data, Science, Software, R, Research",18.0,"Analysis, Algorithms, Python, Data Science, Design, Mac, Computer Science, Data, Optimization, Tensorflow, Tools, C, Science, C++, Computer, Development, R, Technology",6.0,"Software Development, Machine Learning Techniques, EDA, Engineering, Software, Research",90.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 SUMMER INTERNSHIP - Data Scientist, IST Research," Fredericksburg, VA"," $600 a week - Temporary, Internship",1.0,73.68,https://www.indeed.com/rc/clk?jk=75b2f2621b2647ec&fccid=c7be54197249c3dc&vjs=3,19.0,"Analysis, SAS, image classification, Python, Design, Data Science, Big Data, Mac, Data, Developer, Assessment, Security, C, Science, Software, Data Flow, R, Technology, Research",14.0,"Analysis, SAS, image classification, Python, Design, Data Science, Big Data, Mac, Data, Developer, C, Science, R, Technology",5.0,"Assessment, Security, Software, Data Flow, Research",94.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Machine Learning Intern," Berkeley Lights, Inc."," Emeryville, CA", Internship,6.0,72.22,https://www.indeed.com/rc/clk?jk=3444f612fdc331fd&fccid=8bc5d15989fc2a21&vjs=3,18.0,"Analysis, Algorithms, Python, Image Processing, Training, Mac, Networks, Programming, Tensorflow, Tools, C, Engineering, Processing, Software, Software Engineering, R, Metrics, C#",13.0,"Analysis, Algorithms, Python, Image Processing, Mac, Networks, Programming, Tensorflow, Tools, C, Processing, R, C#",5.0,"Training, Engineering, Software, Software Engineering, Metrics",95.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Spatio-temporal Data Analysis Intern, Bosch Group," Sunnyvale, CA", Internship,8.0,72.0,https://www.indeed.com/rc/clk?jk=46d3fd8094c4bf6e&fccid=a2faf1301ac6ad4b&vjs=3,25.0,"Python, Hadoop, Mathematics, Spark, Code, Tools, C, Coding, Technology, Big Data, Programming,  concepts, Engineering, Large Data Sets, Data Analysis, Analysis, Technical, Mac, Support, Data, Languages, Science, Math, Data Sets, R",18.0,"Analysis, Python, Big Data, Technical, Mac, Hadoop, Programming, Data, Spark, Code, Tools, C, Science, Coding, Data Sets, Data Analysis, R, Technology",7.0,"Support,  concepts, Languages, Mathematics, Math, Engineering, Large Data Sets",90.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Machine Learning Intern, Adobe," Seattle, WA"," Full-time, Internship",7.0,71.43,https://www.indeed.com/rc/clk?jk=54dc91810d470207&fccid=f89deb5a97c7738a&vjs=3,14.0,"Python, Mac, Java, Visio, Data, Tools, C, Web, Computer, Javascript, Development, R, Vision, Data Sets",10.0,"Python, Java, Mac, Data, Tools, C, Computer, Data Sets, Development, R",4.0,"Vision, Javascript, Visio, Web",98.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Data Science Intern, Square," San Francisco, CA 94103", Internship,0.92,70.0,https://www.indeed.com/rc/clk?jk=f69899a687b50b42&fccid=09abad886b83c501&vjs=3,40.0,"Python, Mathematics, Tools, C, Numpy, sklearn, Computer, Ruby, Development, ETL, Pandas, Management, Visualizations, Software Development, Statistics, Programming, Verbal, SQL, Data Analysis, Analysis, Hive, Technical, Tableau, Linux, Mac, Software, Computer Science, Analytics, Database, Design, Java, Relational Databases, Data, Languages, Science, Math, Databases, C++, R, Research",28.0,"Python, Tools, C, Numpy, sklearn, Computer, ETL, Development, Management, Pandas, Statistics, Programming, SQL, Data Analysis, Analysis, Hive, Technical, Tableau, Linux, Mac, Computer Science, Analytics, Design, Java, Data, Science, C++, R",12.0,"Visualizations, Software Development, Relational Databases, Languages, Mathematics, Verbal, Math, Databases, Software, Ruby, Research, Database",80.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
 Data Science Intern - PhD/Masters," Pixalate, Inc."," Playa Vista, CA"," Full-time, Temporary, Internship",9.0,70.0,https://www.indeed.com/rc/clk?jk=aa998645330482bc&fccid=86d4b5da3ae0fbfe&vjs=3,40.0,"Python, Statistical Analysis, Leadership, Mathematics, Tools, C, Computer, Algorithms, Mobile, Big Data, Reporting, Statistics, Programming,  concepts, Optimization, Machine Learning Algorithms, SQL, Processing, Data Analysis, Scripting Languages, Analysis, Data Science, Technical, Quantitative, Mac, Data Mining, Physics, Creative, Computer Science, Analytics, Web, Advanced SQL, Data, Languages, Innovation, Science, Math, Data Sets, R, Research",28.0,"Python, Statistical Analysis, Leadership, Tools, C, Computer, Algorithms, Big Data, Reporting, Statistics, Programming, Optimization, Machine Learning Algorithms, SQL, Processing, Data Analysis, Analysis, Data Science, Technical, Quantitative, Mac, Data Mining, Computer Science, Analytics, Data, Science, Data Sets, R",12.0,"Mobile, Advanced SQL, Physics, Creative,  concepts, Languages, Mathematics, Innovation, Research, Math, Web, Scripting Languages",80.0,"Python, Statistical Learning, Leadership, Code, Tools, Toad, Computer, ETL, MapReduce, Machine Learning Algorithms, Decision making, Processing, sci-kit learn, Analysis, Data Science, Tableau, Quantitative, SAP HANA, CNN, Tensorflow, HANA, Quantitative Analysis, Decision Making, Design, Jupyter Notebooks, C++, Hadoop Streaming, NLTK, Oracle, image classification problem, C, Windows, Spyder, Predictive Quantitative Analysis, Technology, Excel, Big Data, MS Excel, Programming, Operations, Keras, Exploratory Data Analysis, Convolutional Neural Network, Data Analysis, Mac, Computer Science, Translation, Flume, Data, Science, Matplotlib, Multivariate Analysis, Hadoop, Statistical Analysis, Coding, Management, Algorithms, Pig, Seaborn, Statistics, Optimization, Statistical Modelling, Business Objects, Linux, Data Mining, Developer, R-Studio, Java, Data Warehousing, OLAP, Data Sets, SAP Business Objects, Microsoft Azure, SAS, Certifications, Spark, Numpy, sklearn, Enterprise Miner, Big Data Analytics, Development, Pandas, Text Analytics, Reporting, Data Analytics, Decision Analytics, Oracle SQL Developer, SQL, PLSQL, Information Technology, Reports, Image Processing, Hive, Technical, MS Visual Studio, Analytics, Hadoop ecosystem, Forecasting, Data Visualization, Sqoop, image classification, Networks, Lumira, SAP NetWeaver, BEX Query Designer and Analyzer, R, SAP Design Studio, C#",108.0
