JobTitle,company,JobLocation,JobType,DaysPostedAgo,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 Student / Intern, Oracle, , Internship,0.92,90,https://www.indeed.com/rc/clk?jk=3800681517ac28fd&fccid=cd22d01053af7669&vjs=3,10,"C, Oracle, R, Research, Tools, Data, Processing, Analysis, Code, Mac",9,"C, Oracle, R, Tools, Data, Processing, Analysis, Code, Mac",1,Research,99,"Toad, Tensorflow, Excel, Certifications, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, ETL, HANA, Computer, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Science, Matplotlib, Hive, Networks, Business Objects",108
 Internship: Data Analyst, Covance, , Internship,3,88.46,https://www.indeed.com/rc/clk?jk=b8fa08ea0f5b0753&fccid=8c8fa600b6a5fdd5&vjs=3,26,"Decision making, Data Analytics, Algorithms, Mac, Planning, R, Processing, Analysis, SAS, C, Python, Computer, Tableau, Decision Making, Tools, Design, Analytics, Data Mining, Science, Forecasting, Development, Data, Healthcare, Organization, Management, Computer Science",23,"Decision making, Computer Science, Data Analytics, Algorithms, Mac, R, Processing, Analysis, SAS, C, Python, Computer, Tableau, Decision Making, Tools, Analytics, Data Mining, Science, Forecasting, Development, Data, Management, Design",3,"Organization, Planning, Healthcare",85,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Java, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Statistics, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Optimization, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
" Intern, Natural Language Processing", VMware, , Internship,17,86.67,https://www.indeed.com/rc/clk?jk=4ac3688a51ad3373&fccid=c762a27145bd166e&vjs=3,15,"C, Innovation, Science, Python, Computer, R, Mac, Data, Creativity, Processing, Data Analytics, Programming, Technical, Analytics, Computer Science",13,"C, Science, Python, Computer, Analytics, R, Data, Processing, Data Analytics, Programming, Technical, Mac, Computer Science",2,"Innovation, Creativity",95,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Java, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Intern - Performance Analysis, Seagate, ," Full-time, Internship",1,85,https://www.indeed.com/rc/clk?jk=9cd48c60ed494f9c&fccid=eb193642f8c64a12&vjs=3,20,"C, Science, Tensorflow, Support, Excel, Computer, R, Machine Learning Algorithms, Keras, C++, Operations, Computer Science, Tools, Analysis, Algorithms, Programming, Machine Learning Techniques, Engineering, Mac, Design",17,"C, Science, Tensorflow, Excel, Computer, R, Machine Learning Algorithms, Keras, C++, Operations, Tools, Programming, Analysis, Algorithms, Design, Mac, Computer Science",3,"Support, Machine Learning Techniques, Engineering",91,"Toad, Certifications, Code, Technical, Flume, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Data, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Reports, Data Warehousing, image classification problem, OLAP, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Science Research Intern, Adobe, ," Full-time, Internship",2,84,https://www.indeed.com/rc/clk?jk=620e3d35e63c1aa4&fccid=f89deb5a97c7738a&vjs=3,25,"MapReduce, Data Analytics, Technical, Mac, Hadoop, Statistics, R, Big Data Analytics, Analysis, Web, Data Sets, Communication, C, Computer, Research, Java, Analytics, Data Mining, Science, Applications, Data, Big Data, Programming, Hadoop ecosystem, Computer Science",21,"MapReduce, Data Analytics, Technical, Mac, Hadoop, Statistics, R, Big Data Analytics, Analysis, Data Sets, C, Computer, Java, Analytics, Data Mining, Science, Data, Big Data, Programming, Hadoop ecosystem, Computer Science",4,"Web, Research, Applications, Communication",87,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, SAS, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Intern-Data Engineering, Huawei, , Internship,0.71,80,https://www.indeed.com/rc/clk?jk=de6d841541ed95ed&fccid=d8be85d73018fac8&vjs=3,20,"C, Science, Python, Statistics, Computer, R, Electrical, Software, Machine Learning Algorithms, Problem Solving, Big Data, Data, Programming, Engineering, Analysis, Algorithms, Java, Spark, Mac, Computer Science",16,"C, Science, Python, Computer, Statistics, R, Machine Learning Algorithms, Big Data, Data, Programming, Analysis, Algorithms, Java, Spark, Mac, Computer Science",4,"Engineering, Software, Problem Solving, Electrical",92,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Matplotlib, Hive, Networks, Business Objects",108
 Software Engineer - Intern," DeepMap, Inc", , Internship,9,80,https://www.indeed.com/rc/clk?jk=13e20147b37e643a&fccid=a620d529552cb5ef&vjs=3,20,"C, Data Structures, Science, Image Processing, Excel, Python, Computer, R, C++, Big Data, Computer Science, Data, Languages, Processing, Visio, Algorithms, Java, Vision, Mac, Design",16,"C, Science, Image Processing, Excel, Python, Computer, R, C++, Big Data, Data, Processing, Design, Algorithms, Java, Mac, Computer Science",4,"Data Structures, Languages, Vision, Visio",92,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Science Intern, PulsePoint, , Internship,13,78.95,https://www.indeed.com/rc/clk?jk=aa37506dfa0650db&fccid=93b6104db54859ec&vjs=3,19,"C, Technology, Science, Math, Optimization, Quantitative, Python, Computer, R, Data Science, Software, Data, Mathematics, Programming, Healthcare, Analysis, Java, Mac, Computer Science",15,"C, Technology, Science, Optimization, Quantitative, Python, Computer, R, Data Science, Data, Programming, Analysis, Java, Mac, Computer Science",4,"Software, Healthcare, Mathematics, Math",93,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Tools, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Computer Vision Software Engineer - Intern," DeepMap, Inc", , Internship,13,78.95,https://www.indeed.com/rc/clk?jk=225d96cccc5bd14b&fccid=a620d529552cb5ef&vjs=3,19,"C, Data Structures, Science, Image Processing, Excel, Computer, R, C++, Big Data, Computer Science, Data, Processing, Visio, Javascript, Algorithms, Java, Vision, Mac, Design",15,"C, Science, Image Processing, Excel, Computer, R, C++, Big Data, Data, Processing, Design, Algorithms, Java, Mac, Computer Science",4,"Data Structures, Javascript, Vision, Visio",93,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, Python, image classification, Coding, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
" 2018 Summer Intern, PhD Candidates", Sentient, ," Temporary, Internship",1,76.92,https://www.indeed.com/rc/clk?jk=4220fe9b41cb3e61&fccid=6787fdf50ed71fcd&vjs=3,13,"C, Technology, Science, Optimization, R, Research, Data Science, Applications, Financial, Data, Processing, Data Sets, Mac",10,"C, Technology, Science, Optimization, R, Data Science, Data, Processing, Data Sets, Mac",3,"Applications, Financial, Research",98,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Tools, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
